,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
6,,,,,,,,,,,,,,,,,,0.321221,,,,,,,,,,,,9a50295b-7f7a-449c-9ef3-87e60467e8e1,5,,,"[61.0, 40.1]",3895052,0,True,,,2.968347,,Right Foot,,,"[57.0, 40.8]",,Ground Pass,,4.060788,,,,,Daniel Olmo Carvajal,16532.0,,,,,Kick Off,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,['17c0df03-219a-4603-befe-8cd2f58d6d47'],0,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.773,Pass,
7,,,,,,,,,,,,,,,,,,1.984711,,,,,,,,,,,,6c4c62f2-7d95-4094-a714-50c0161ee2e6,7,,,"[56.2, 40.8]",3895052,0,,,,1.606709,,Right Foot,,,"[55.0, 74.2]",,Ground Pass,,33.42155,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['15bf07b2-c5b7-4074-8693-1d9e4a5b7153'],1,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.607,Pass,
8,,,,,,,,,,,,,,,,,,2.0595,,,,,,,,,,,,88661240-834a-430d-8629-b37b64dbcddc,10,,,"[56.4, 74.4]",3895052,0,,,,-2.7399497,,Right Foot,,,"[37.8, 66.5]",,Ground Pass,,20.208166,,,,,Mohamed Simakan,30360.0,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['98e575e4-0886-40e5-96a8-9c9f857ebcc1'],4,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:04.859,Pass,
9,,,,,,,,,,,,,,,,,,1.76291,,,,,,,,,,,,1d75ee1b-f1e8-43ab-a31d-cc0805acd5e2,13,,,"[35.8, 64.7]",3895052,0,,,,-1.6730995,,Right Foot,,,"[33.1, 38.4]",,Ground Pass,,26.43823,,,,,Willi Orban,8509.0,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['8f1fbe41-034b-43eb-9585-edbb0aadb7ba'],8,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:08.123,Pass,
10,,,,,,,,,,,,,,,,,,1.08951,,,,,,,,,,,,585a8685-12a2-418f-91a6-4d2a02ad8430,16,,,"[36.0, 36.4]",3895052,0,,,,1.579235,,Right Foot,,,"[35.8, 60.1]",,Ground Pass,,23.700844,,,,,Mohamed Simakan,30360.0,,,,,,1,From Kick Off,Willi Orban,8509.0,Left Center Back,2,RB Leipzig,182,['54f1c83c-f7c4-4413-8a2a-69aaac9bec05'],12,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:12.373,Pass,
11,,,,,,,,,,,,,,,,,,1.262947,,,,,,,,,,,,93753357-15d4-4424-9899-669adf6f34ea,19,,,"[35.1, 60.1]",3895052,0,,,,0.7853982,,Right Foot,,,"[48.4, 73.4]",,Ground Pass,,18.80904,,,,,Benjamin Henrichs,8211.0,,,,,,1,From Kick Off,Mohamed Simakan,30360.0,Right Center Back,2,RB Leipzig,182,['bf8ecf65-adbc-42d1-99f7-c48a6ef2ec06'],14,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:14.246,Pass,
12,,,,,,,,,,,,,,,,,,1.151433,,,,,,,,,,,,86a2db30-3020-4a3a-af2f-3b1d59b73adc,22,,,"[58.0, 75.8]",3895052,0,,,,-0.7853982,,Right Foot,,,"[79.9, 53.9]",,High Pass,,30.971277,,,,,Daniel Olmo Carvajal,16532.0,,,,,,1,From Kick Off,Benjamin Henrichs,8211.0,Right Back,2,RB Leipzig,182,['da618d2e-27e6-47f5-ba91-a32d880fc3f3'],17,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:17.808,Pass,
13,,,,,,,,,,,,,,,,,,1.658207,,,,,,,,,,,,a6f33202-5449-458f-8473-9c4274528e11,26,,,"[36.5, 29.6]",3895052,0,,,,-1.6780752,,Left Foot,,,"[35.1, 16.6]",,Low Pass,,13.075168,,,Incomplete,,Edmond Fayçal Tapsoba,30606.0,,,,,Recovery,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,RB Leipzig,182,"['ce0cff7d-de0c-4e19-8496-2dd948d69413', 'ebaf6e35-461e-411b-a4c6-bd8c8807ed4b']",20,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:20.033,Pass,
14,,,,,,,,,,,,,,,,,,0.900939,,,,,,,,,,,,ebaf6e35-461e-411b-a4c6-bd8c8807ed4b,28,,,"[85.0, 63.5]",3895052,0,,,,-1.6630195,,Left Foot,,,"[83.4, 46.2]",,Ground Pass,,17.37383,,,,,Daniel Olmo Carvajal,16532.0,,,,,Recovery,1,From Kick Off,Ikoma Loïs Openda,16275.0,Right Center Forward,2,RB Leipzig,182,"['9a40ee6a-81c2-48c1-b86d-7b611f1cbad9', 'a6f33202-5449-458f-8473-9c4274528e11']",21,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:21.691,Pass,
15,,,,,,,,,,,,,,,,,,1.66366,,,,,,,,,,,,bf131dfc-aa54-477b-aa3a-fe427e0f5a4d,31,,,"[84.0, 44.4]",3895052,0,,,,-1.6399499,,Left Foot,,,"[82.4, 21.3]",,Ground Pass,,23.155344,,,,,David Raum,12034.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Center Forward,2,RB Leipzig,182,['24fa959e-ad78-4dfb-9cf7-ff352947271c'],23,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:23.488,Pass,
