,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
6,,,,,,,,,,,,,,,,,1.274192,,,,,,,,,,,,,,69bdfb9b-ba46-41c8-814a-98f0a43c6501,5,,"[61.0, 40.1]",3895060,0,,,,,2.8357139,,Right Foot,,,,"[40.1, 46.7]",,Ground Pass,,21.917345,,,Ko Itakura,29595.0,,,,,Kick Off,1,From Kick Off,Alassane Pléa,3230.0,Left Wing,2,Borussia Mönchengladbach,185,['ceaa47dd-e3bf-4016-ade0-ed3d54afe971'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.725,Pass,
7,,,,,,,,,,,,,,,,,2.844089,,,,,,,,,,,,,,748f1afc-2300-4252-bc9b-f161b5e7c6ef,8,,"[39.9, 46.7]",3895060,0,,,,,0.12765454,,Right Foot,,,,"[92.1, 53.4]",,High Pass,,52.628223,Incomplete,,Tomáš Čvančara,45567.0,,,,,,1,From Kick Off,Ko Itakura,29595.0,Center Back,2,Borussia Mönchengladbach,185,"['33fdf203-b847-4fa5-9021-5f1875717796', 'c744951c-c660-4c83-8083-049bf85c8cbd']",3,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.462,Pass,
8,,,,,,,,,,,,,,,,,1.103374,,,,,,,,,,,,,,316981db-6e7f-44a0-999e-b56d5da36fd6,16,,"[48.2, 27.8]",3895060,0,,,,,3.100799,,Right Foot,,,,"[33.5, 28.4]",,Low Pass,,14.71224,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,3,Bayer Leverkusen,904,"['4c6fb264-6641-4514-9dfb-96a0f17f3899', 'b767f8cf-4d2d-45c2-befd-2acd1c356621']",12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.062,Pass,True
9,,,,,,,,,,,,,,,,,0.977504,,,,,,,,,,,,,,5ea481e0-e6e1-4897-b6e0-78445211ad3d,19,,"[36.2, 28.9]",3895060,0,,,,,-1.2508541,,Right Foot,,,,"[41.7, 12.3]",,Ground Pass,,17.487425,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,3,Bayer Leverkusen,904,['90ec0daf-d61f-4501-ab28-c24d33c3ac5f'],20,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:20.177,Pass,
10,,,,,,,,,,,,,,,,,1.100094,,,,,,,,,,,,,,11e909cf-1292-4ff6-877b-047271284066,23,,"[46.9, 10.8]",3895060,0,,,,,2.6578135,,Right Foot,,,,"[35.1, 17.0]",,Ground Pass,,13.329666,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,3,Bayer Leverkusen,904,"['9f680d72-f947-4b6e-a483-04e6cb981cf5', 'b718de1e-9955-427d-a714-9612b515b37f']",24,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:24.083,Pass,True
11,,,,,,,,,,,,,,,,,1.385777,,,,,,,,,,,,,,92c1b7bb-eaee-47f1-bb28-3688ba247c98,26,,"[50.3, 36.3]",3895060,0,,,,,-1.2342594,,Right Foot,,,,"[61.6, 4.0]",,Ground Pass,,34.219585,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,3,Bayer Leverkusen,904,['d8bafa86-623c-428c-b507-6da8d83df984'],34,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:34.447,Pass,
12,,,,,,,,,,,,,,,,,0.91588,,,,,,,,,,,,,,90e3b280-77a2-42f8-80a1-789498a383d1,30,,"[70.0, 6.1]",3895060,0,,,,,0.43163884,,Right Foot,,,,"[86.5, 13.7]",,Ground Pass,,18.166178,,,Alejandro Grimaldo García,10336.0,,,,,,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,3,Bayer Leverkusen,904,"['26deaac5-4c1c-429d-bc3b-a714e513cc0c', 'cea8c7fe-1b2f-4beb-9b6b-0c11f999b909']",39,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:39.080,Pass,True
13,,,,,,,,,,,,,,,,,0.57387,,,,,,,,,,,,,,b20d045a-73cb-4eab-8dfc-bc07269ce986,34,,"[87.1, 9.7]",3895060,0,,,,,-2.2062492,,Left Foot,,,,"[81.2, 1.7]",,Ground Pass,,9.940322,,,Victor Okoh Boniface,32289.0,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,3,Bayer Leverkusen,904,"['998ca3a4-a5cc-4a15-9c36-122431d2f843', 'e435a0b9-4c8a-4470-b59a-5ec58d706789']",41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:41.000,Pass,True
14,,,,,,,,,,,,,,,,,0.710761,,,,,,,,,,,,,,d4bf08dc-9205-4261-8876-566102e23931,37,,"[81.2, 1.7]",3895060,0,,,,,0.94992065,,Right Foot,,,,"[92.0, 16.8]",,Ground Pass,,18.56475,,,Florian Wirtz,40724.0,,,,,,1,Regular Play,Victor Okoh Boniface,32289.0,Center Forward,3,Bayer Leverkusen,904,['747510a6-98ed-4a69-9400-5617988abdfa'],41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:41.612,Pass,
15,,,,,,,,,,,,,,,,,1.116327,,,,,,,,,,,,,,244fd2c8-b53e-4e9e-8f15-a3d4fc996e95,41,,"[91.8, 16.4]",3895060,0,,,,,-2.427502,,Right Foot,,,,"[84.3, 9.9]",,Ground Pass,,9.924717,,,Victor Okoh Boniface,32289.0,,,,,,1,Regular Play,Florian Wirtz,40724.0,Left Wing,3,Bayer Leverkusen,904,"['65a00927-90a1-4c33-a35c-363da5bcaaeb', 'e2b37f00-81ce-493d-9f04-3b60b2d08ff3']",42,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:42.468,Pass,True
