,50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
6,,,,,,,,,,,,,,,,,,1.545795,,,,,,,,,,,,,,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,5,,"[61.0, 40.1]",3895086,0,,,,3.065435,,Right Foot,,,,"[36.1, 42.0]",,Ground Pass,,24.972385,,,,Lennard Maloney,133483.0,,,,,Kick Off,1,From Kick Off,Nikola Dovedan,9201.0,Center Attacking Midfield,2,FC Heidenheim,201,['40f9b6ab-32ab-47e8-8b92-9b97e90d4c4f'],0,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:00.776,Pass,
7,,,,,,,,,,,,,,,,,,2.560189,,,,,,,,,,,,,,28f3d343-a6db-4854-bae5-f3390857e90c,8,,"[36.7, 42.6]",3895086,0,,,,-0.77948105,,Right Foot,,,,"[79.2, 0.6]",,High Pass,,59.751568,,Out,,Jonas Föhrenbach,9109.0,,True,,,,1,From Kick Off,Lennard Maloney,133483.0,Right Defensive Midfield,2,FC Heidenheim,201,['39ec53e3-9bd4-4411-814d-6e1ede254aac'],3,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:03.839,Pass,
8,,,,,,,,,,,,,,,,,,0.905224,,,,,,,,,,,,,,d5a131da-001e-451d-94a2-16c8fddf1ae0,10,,"[41.2, 80.0]",3895086,0,True,,,-0.96299434,,,,,,"[47.6, 70.8]",,High Pass,,11.207141,,,,Jonas Hofmann,8804.0,,,,,Throw-in,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,3,Bayer Leverkusen,904,['a03fa6b0-0944-4d90-9881-9d2b47418d86'],11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.881,Pass,
9,,,,,,,,,,,,,,,,,,0.729732,,,,,,,,,,,,,,e7281523-4786-460c-a9a4-c25b2828a783,13,,"[48.4, 69.9]",3895086,0,,,,1.1801893,,Right Foot,,,,"[50.5, 75.0]",,Low Pass,,5.515433,,,,Jeremie Frimpong,32712.0,,,,,,1,From Throw In,Jonas Hofmann,8804.0,Right Attacking Midfield,3,Bayer Leverkusen,904,['da7c4c87-47cc-43e4-abc7-ed5153ccd953'],12,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.786,Pass,
10,,,,,,,,,,,,,,,,,,0.843404,,,,,,,,,,,,,,6bae2646-95ef-4ae3-808b-79fa5756e3a0,17,,"[83.7, 70.5]",3895086,0,,,,-1.3498268,,Right Foot,,,,"[86.8, 56.7]",,Ground Pass,,14.143904,,,,Victor Okoh Boniface,32289.0,,,,,,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,3,Bayer Leverkusen,904,['a3d8c0c0-3e97-47d3-8bee-8eba75a19ae8'],17,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:17.567,Pass,
11,,,,,,,,,,,,,,,,,,1.092156,,,,,,,,,,,,,,5d1189db-89e2-4f3a-9fe7-9ca309a9180b,25,,"[39.4, 28.2]",3895086,0,,,,-2.91349,,Right Foot,,,,"[22.6, 24.3]",,Ground Pass,,17.246738,,,,Tim Siersleben,46430.0,,,,,,1,Regular Play,Nikola Dovedan,9201.0,Center Attacking Midfield,4,FC Heidenheim,201,['43d00079-b73c-4617-aa1a-2d5d3d54ba34'],23,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:23.675,Pass,
12,,,,,,,,,,,,,,,,,,1.08029,,,,,,,,,,,,,,e1f2d0bd-aeb0-42b2-867d-f5e407986d61,28,,"[20.5, 16.6]",3895086,0,,,,0.4130579,,Left Foot,,,,"[36.7, 23.7]",,Ground Pass,,17.687567,,,,Lennard Maloney,133483.0,,,,,,1,Regular Play,Tim Siersleben,46430.0,Left Center Back,4,FC Heidenheim,201,['1ada5a52-ccdd-47d6-bfae-a3c6cfe6695c'],26,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:26.083,Pass,
13,,,,,,,,,,,,,,,,,,1.078428,,,,,,,,,,,,,,c3ae126d-34d6-421c-813d-3e3179428b05,31,,"[37.5, 23.1]",3895086,0,,,,-1.5707964,,Left Foot,,,,"[37.5, 6.3]",,Ground Pass,,16.8,,,,Jonas Föhrenbach,9109.0,,,,,,1,Regular Play,Lennard Maloney,133483.0,Right Defensive Midfield,4,FC Heidenheim,201,['6b3357d7-8b5b-4068-944b-8abb2b0458ff'],27,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:27.948,Pass,
14,,,,,,,,,,,,,,,,,,2.77842,,,,,,,,,,,,,,dcdc9caf-542f-4fed-b166-7702a8293952,34,,"[37.5, 6.3]",3895086,0,,,,2.9318216,,Left Foot,,,,"[22.0, 9.6]",,Ground Pass,,15.847397,,,,Tim Siersleben,46430.0,,,,,,1,Regular Play,Jonas Föhrenbach,9109.0,Left Back,4,FC Heidenheim,201,['e06cfc4c-9c3c-4733-a711-b3d88fad8f32'],29,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:29.067,Pass,
15,,,,,,,,,,,,,,,,,,1.909687,,,,,,,,,,,,,,10ccacd2-12e9-4f5f-907e-988c1c25c90e,37,,"[20.5, 9.3]",3895086,0,,,,2.3250432,,Left Foot,,,,"[3.4, 27.5]",,Ground Pass,,24.972986,,,,Kevin Müller,9205.0,,,,,,1,Regular Play,Tim Siersleben,46430.0,Left Center Back,4,FC Heidenheim,201,['85016910-7a46-41d7-9daa-e67ae1f50e97'],31,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:31.885,Pass,
16,,,,,,,,,,,,,,,,,,4.099051,,,,,,,,,,,,,,d5f49005-e164-4a56-b36c-8e788d813b4c,40,,"[6.7, 24.9]",3895086,0,,,,-0.17968161,,Left Foot,,,,"[57.9, 15.6]",,High Pass,,52.037773,,Incomplete,,Jonas Föhrenbach,9109.0,,,,,,1,Regular Play,Kevin Müller,9205.0,Goalkeeper,4,FC Heidenheim,201,"['42c834c5-484a-4ac0-8d9f-0bd7f0b4ae95', 'dc60fe07-6cc5-473b-8ccf-9bf00e152a49']",36,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:36.716,Pass,
17,,,,,,,,,,,,,,,,,,1.206592,,,,,,,,,,,,,,dc60fe07-6cc5-473b-8ccf-9bf00e152a49,42,,"[62.2, 64.5]",3895086,0,,,,0.0,,Head,,,,"[69.4, 64.5]",,Low Pass,,7.2,,Incomplete,,Jeremie Frimpong,32712.0,,,,,Recovery,1,Regular Play,Odilon Kossonou,27133.0,Right Center Back,4,FC Heidenheim,201,"['4bbe9045-17fc-4dd4-b422-1b2c0b7f7c2d', 'd5f49005-e164-4a56-b36c-8e788d813b4c', 'ee5e44ed-cec3-40a9-b760-3312d3d02746']",40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:40.815,Pass,
18,,,,,,,,,,,,,,,,,,1.451079,,,,,,,,,,,,,,ee5e44ed-cec3-40a9-b760-3312d3d02746,44,,"[50.7, 15.6]",3895086,0,,,,0.09065989,,Left Foot,,,,"[57.3, 16.2]",,High Pass,,6.627217,,Incomplete,,Jan-Niklas Beste,31310.0,,,,,Recovery,1,Regular Play,Norman Theuerkauf,9203.0,Left Defensive Midfield,4,FC Heidenheim,201,"['dc60fe07-6cc5-473b-8ccf-9bf00e152a49', 'e04ea77c-949a-42c1-a58b-9b2cd5ec3f86', 'ea294bae-9cde-4a49-ba92-8de0e5558724']",42,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:42.021,Pass,
