,50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
6,,,,,,,,,,,,,,,,,,1.960408,,,,,,,,,,,,,,1bed9ec9-1af9-4570-a620-8aab3469a6dd,5,,"[60.0, 40.0]",3895134,0,,,,2.980605,,Right Foot,,,,"[36.6, 43.8]",,Ground Pass,23.70654,,,,,Kevin Vogt,8397.0,,,,,,Kick Off,1,From Kick Off,Maximilian Beier,35242.0,Left Center Forward,2,Hoffenheim,175,['50dad646-a7c1-450b-8a63-2e2fd90b3cd1'],0,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.991,Pass,
7,,,,,,,,,,,,,,,,,,1.388029,,,,,,,,,,,,,,6acfcb07-7343-4821-aa28-a91f66140043,8,,"[35.8, 42.9]",3895134,0,,,,-1.5707964,,Right Foot,,,,"[35.8, 40.5]",,Ground Pass,2.4,,,,,Kevin Akpoguma,13292.0,,,,,,,1,From Kick Off,Kevin Vogt,8397.0,Center Back,2,Hoffenheim,175,['0195cc34-10dc-41e9-ada9-e853f9c16f02'],2,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:02.954,Pass,
8,,,,,,,,,,,,,,,,,,5.969534,,,,,,,,,,,,,,5342ea84-0732-454a-9551-8bc9fbe70d05,10,,"[35.8, 40.5]",3895134,0,,,,0.32840234,,Right Foot,,,,"[116.8, 68.1]",,High Pass,85.57313,,,Incomplete,,Wout Weghorst,7829.0,,,,,,,1,From Kick Off,Kevin Akpoguma,13292.0,Left Center Back,2,Hoffenheim,175,"['174d1bd5-23b1-403b-b417-fc59eab9339c', '7604592e-b68b-4f0b-a7ff-eca7a0e2440b']",4,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:04.342,Pass,
9,,,,,,,,,,,,,,,,,,0.978695,,,,,,,,,,,,,,897c5f7a-b611-400d-a4bd-546cbba4e897,15,,"[1.9, 13.4]",3895134,0,,,,0.8562471,,Left Foot,,,,"[9.1, 21.7]",,Low Pass,10.9877205,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,3,Bayer Leverkusen,904,"['635f9e3a-22a3-4328-aa0d-299e2244750f', '74e102e0-b7bc-4d69-a21b-fe814eb02b6e']",10,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:10.962,Pass,True
10,,,,,,,,,,,,,,,,,,3.892265,,,,,,,,,,,,,,c55ee278-e7d5-4f2f-aaf9-1d7e71c7ee6f,19,,"[8.3, 25.4]",3895134,0,,,,0.5487411,,Right Foot,,,,"[50.5, 51.2]",,High Pass,49.461906,,,Incomplete,,,,,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,3,Bayer Leverkusen,904,"['01867a27-4aa7-42ac-ab96-6d7f49d8dcb8', 'b2aa3ef3-18c5-47bb-8d2b-ae0489efea39']",12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.952,Pass,True
11,,,,,,,,,,,,,,,,,,1.808769,,,,,,,,,,,,,,b2aa3ef3-18c5-47bb-8d2b-ae0489efea39,20,,"[69.6, 28.9]",3895134,0,,,,0.047583103,,Head,,,,"[92.7, 30.0]",,High Pass,23.126175,,,Incomplete,,Marius Bülter,9133.0,,,,,,Recovery,1,Regular Play,Kevin Akpoguma,13292.0,Left Center Back,3,Bayer Leverkusen,904,"['415243ce-3849-4896-9be1-75365ad90b78', 'c55ee278-e7d5-4f2f-aaf9-1d7e71c7ee6f', 'f9096f10-3921-40be-bcaa-d7439f4bef6c']",16,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:16.844,Pass,
12,,,,,,,,,,,,,,,,,,1.14443,,,,,,,,,,,,,,f9096f10-3921-40be-bcaa-d7439f4bef6c,22,,"[27.4, 50.1]",3895134,0,,,,-0.055842504,,Head,,,,"[43.5, 49.2]",,High Pass,16.125135,,,,,Jonas Hofmann,8804.0,,,,,,Recovery,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,"['61c008f9-cf5c-4ebe-ae27-f5ee5b22c150', 'b2aa3ef3-18c5-47bb-8d2b-ae0489efea39']",18,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:18.653,Pass,
13,,,,,,,,,,,,,,,,,,1.767494,,,,,,,,,,,,,,fbeffccf-f6ec-4792-812e-6aa5f8535b6c,25,,"[43.5, 49.2]",3895134,0,,,,-0.49074942,,Right Foot,,,,"[56.6, 42.2]",,High Pass,14.852946,,,,,Victor Okoh Boniface,32289.0,,,,,,,1,Regular Play,Jonas Hofmann,8804.0,Right Attacking Midfield,3,Bayer Leverkusen,904,['a4cf9a70-b481-4b49-9ce1-ca29ff7c506e'],19,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:19.843,Pass,
14,,,,,,,,,,,,,,,,,,1.511852,,,,,,,,,,,,,,2b8248b7-ca1e-4b25-8019-43dcd354312b,29,,"[71.4, 52.6]",3895134,0,,,,0.77076507,,Right Foot,,,,"[92.2, 72.8]",,Ground Pass,28.994482,,,,,Jeremie Frimpong,32712.0,,,,,,,1,Regular Play,Victor Okoh Boniface,32289.0,Center Forward,3,Bayer Leverkusen,904,['3e22029c-1ffc-479a-8824-66a065a2fdf6'],25,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:25.657,Pass,
15,,,,,,,,,,,,,,,,,,1.761878,,,,,,,,,,,,,,263393dd-6b86-4b3d-b4d4-08e19a071251,32,,"[99.5, 72.8]",3895134,0,,,,-1.0502155,,Right Foot,True,,,"[116.7, 42.8]",,High Pass,34.58092,,,Incomplete,,Florian Wirtz,40724.0,,,,,,,1,Regular Play,Jeremie Frimpong,32712.0,Right Wing Back,3,Bayer Leverkusen,904,"['9351a75c-1c91-4205-b38c-4875eb4ab288', 'b1ebe5e7-8980-4421-b068-c1b1a36c650d']",29,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:29.053,Pass,
16,,,,,,,,,,,,,,,,,,2.048966,,,,,,,,,,,,,,0ada3c93-0dea-44b3-838b-308d7032cb53,36,,"[7.0, 38.7]",3895134,0,,,,-1.8076451,,Right Foot,,,,"[4.2, 27.1]",,Ground Pass,11.933147,,,,,Kevin Vogt,8397.0,,,,,,,1,Regular Play,Oliver Baumann,8393.0,Goalkeeper,4,Hoffenheim,175,['6bfc5905-fd3d-4a0f-8dd4-e66a22373576'],43,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:43.497,Pass,
17,,,,,,,,,,,,,,,,,,1.675286,,,,,,,,,,,,,,cda89eb4-2a08-49d3-b303-e8d036641f46,39,,"[15.9, 44.8]",3895134,0,,,,1.4539837,,Left Foot,,,,"[18.2, 64.4]",,Ground Pass,19.734488,,,,,Ozan Muhammed Kabak,20770.0,,,,,,,1,Regular Play,Kevin Vogt,8397.0,Center Back,4,Hoffenheim,175,['868c8013-7306-466b-93e7-217812448fd5'],49,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:49.881,Pass,
18,,,,,,,,,,,,,,,,,,2.122458,,,,,,,,,,,,,,0138382f-c7f1-453f-a804-e83d80388701,43,,"[19.7, 68.3]",3895134,0,,,,-0.20846522,,Right Foot,,,,"[56.1, 60.6]",,High Pass,37.20551,,,,,Wout Weghorst,7829.0,,,,,,,1,Regular Play,Ozan Muhammed Kabak,20770.0,Right Center Back,4,Hoffenheim,175,['f410a2e4-a20a-4740-9789-df374ad99354'],52,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:52.544,Pass,
19,,,,,,,,,,,,,,,,,,1.898275,,,,,,,,,,,,,,ded4b97c-05de-492d-afdf-293ace2b3224,45,,"[56.1, 60.6]",3895134,0,,,,-1.4968573,,Right Foot,,,,"[56.7, 52.5]",,Low Pass,8.122191,,,Incomplete,,Finn Ole Becker,24845.0,,,,,,,1,Regular Play,Wout Weghorst,7829.0,Right Center Forward,4,Hoffenheim,175,"['c0a6ff18-bef9-4da4-a93d-df405de515ca', 'd38e730e-330c-42a9-8889-f2b613aae2a5']",54,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:54.667,Pass,
